type,time,exchange,competitor,odds,backer,layer,stake
Trade,47.03875732421875,0,4,1.1,10,58,15
Trade,47.03972125053406,0,4,1.1,17,57,15
Trade,47.04021859169006,0,4,1.1,12,56,15
Trade,47.04056739807129,0,4,1.1,13,55,15
Trade,47.04202938079834,0,4,1.1,18,59,15
Trade,47.04235816001892,0,4,1.1,16,58,15
Trade,47.044126987457275,0,4,1.1,19,55,15
Trade,47.04426050186157,0,4,1.1,14,57,15
Trade,47.044687271118164,0,4,1.1,11,56,15
Trade,47.04587435722351,0,4,1.1,15,58,15
Trade,47.04672932624817,0,4,1.1,10,59,15
Trade,47.04907965660095,0,4,1.1,17,55,15
Trade,47.04945087432861,0,4,1.1,12,56,15
Trade,47.04961705207825,0,4,1.1,13,57,15
Trade,47.05143594741821,0,4,1.1,18,59,15
Trade,47.0519700050354,0,4,1.1,16,58,15
Trade,47.06153750419617,0,4,1.1,19,57,15
Trade,47.061845541000366,0,4,1.1,14,58,15
Trade,47.061959743499756,0,4,1.1,11,55,15
Trade,47.06224727630615,0,4,1.1,15,59,15
Trade,47.062328815460205,0,4,1.1,10,56,15
Trade,47.06598496437073,0,4,1.1,13,55,15
Trade,47.066502809524536,0,4,1.1,12,58,15
Trade,47.066731214523315,0,4,1.1,18,57,15
Trade,47.06695222854614,0,4,1.1,16,59,15
Trade,47.06753182411194,0,4,1.1,44,56,15
Trade,47.06900429725647,0,4,1.1,17,55,15
Trade,47.07772636413574,0,4,1.1,19,57,15
Trade,47.077868938446045,0,4,1.1,14,58,15
Trade,47.07819890975952,0,4,1.1,11,59,15
Trade,47.078856229782104,0,4,1.1,10,56,15
Trade,47.08021903038025,0,4,1.1,15,55,15
Trade,47.08194041252136,0,4,1.1,31,57,15
Trade,47.0826370716095,0,4,1.1,36,59,15
Trade,47.082804441452026,0,4,1.1,34,58,15
Trade,47.083232402801514,0,4,1.1,30,55,15
Trade,47.08455419540405,0,4,1.1,35,56,15
Trade,47.08516073226929,0,4,1.1,39,57,15
Trade,47.08530831336975,0,4,1.1,32,59,15
Trade,47.08548617362976,0,4,1.1,38,55,15
Trade,47.085912466049194,0,4,1.1,33,58,15
Trade,47.09731698036194,0,4,1.1,37,57,15
Trade,47.097811222076416,0,4,1.1,13,56,15
Trade,47.10037922859192,0,4,1.1,18,55,15
Trade,47.101200342178345,0,4,1.1,16,59,15
Trade,47.10161638259888,0,4,1.1,12,58,15
Trade,47.10434007644653,0,4,1.1,17,59,15
Trade,47.10447025299072,0,4,1.1,19,57,15
Trade,47.10472321510315,0,4,1.1,14,56,15
Trade,47.10546159744263,0,4,1.1,11,55,15
Trade,47.10554528236389,0,4,1.1,10,58,15
Trade,47.107487201690674,0,4,1.1,15,57,15
Trade,47.108736753463745,0,4,1.1,45,55,15
Trade,47.108867168426514,0,4,1.1,48,59,15
Trade,47.10909724235535,0,4,1.1,13,56,15
Trade,47.109241008758545,0,4,1.1,18,58,15
Trade,47.112874031066895,0,4,1.1,16,57,15
Trade,47.113438844680786,0,4,1.1,12,59,15
Trade,47.113667726516724,0,4,1.1,17,56,15
Trade,47.11461305618286,0,4,1.1,19,58,15
Trade,47.11485028266907,0,4,1.1,14,55,15
Trade,47.11565136909485,0,4,1.1,10,59,15
Trade,47.11588907241821,0,4,1.1,11,57,15
Trade,47.116559743881226,0,4,1.1,15,56,15
Trade,47.128435373306274,0,4,1.1,18,57,15
